Generation,Best Fitness
1,2.9596199999999997
2,2.9596199999999997
3,2.9596199999999997
4,2.9594940000000003
5,2.9594940000000003
6,2.9594940000000003
7,2.9594940000000003
8,2.959368
9,2.959368
10,2.959368
11,2.959368
12,2.959368
13,2.959368
14,2.959368
15,2.959368
16,2.959242
17,2.959242
18,2.959242
19,2.959242
20,2.9591160000000003
21,2.9591160000000003
22,2.95899
23,2.95899
24,2.95899
25,2.95899
26,2.95899
27,2.95899
28,2.95899
29,2.95899
30,2.95899
31,2.95899
32,2.95899
33,2.95899
34,2.95899
35,2.95899
36,2.95899
37,2.95899
38,2.95899
39,2.95899
40,2.95899
41,2.95899
42,2.95899
43,2.95899
44,2.95899
45,2.95899
46,2.95899
47,2.95899
48,2.95899
49,2.95899
50,2.95899
